objectid,unique_code,name,pollutant_metric,maximum_value,unit,compliance_status,compliance_metric,globalid,shape_Length,shape_Area
27,UK0027,Swansea Urban Area,Nitrogen Dioxide hourly mean Limit Value 2023,0,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{F7A98712-9690-4911-81F8-B6EF6DE29BB5},365148.94139693,79703705.1851885
28,UK0028,Belfast Metropolitan Urban Area,Nitrogen Dioxide hourly mean Limit Value 2023,0,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{B7CA1360-B76C-45FF-813B-E314F6A750C0},277460.90331101,198130523.091352
29,UK0029,Eastern,Nitrogen Dioxide hourly mean Limit Value 2023,0,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{8827F69D-EFC2-48A4-80BC-4026CAEE2536},2210565.64479357,19104559394.6904
30,UK0030,South West,Nitrogen Dioxide hourly mean Limit Value 2023,0,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{858FA534-5029-40C8-AEB4-F3644A67EAF2},2743218.82663225,23566188737.735
31,UK0031,South East,Nitrogen Dioxide hourly mean Limit Value 2023,0,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{E4781452-D1A5-4559-A474-0D1F2E4682A9},3643594.26603739,18657535924.9388
32,UK0032,East Midlands,Nitrogen Dioxide hourly mean Limit Value 2023,0,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{293B4393-E947-4CC7-9A4E-8D2AD277D3B0},1684612.99306767,15370211448.3816
33,UK0033,North West & Merseyside,Nitrogen Dioxide hourly mean Limit Value 2023,0,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{890F94F6-DDC3-41F7-98D2-66AD2CD5308D},3535298.00795829,13189716555.2295
34,UK0034,Yorkshire & Humberside,Nitrogen Dioxide hourly mean Limit Value 2023,0,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{314A880B-4F6E-42B2-8D85-9A4E8F564FFB},2858093.01858223,14789540030.5633
35,UK0035,West Midlands,Nitrogen Dioxide hourly mean Limit Value 2023,0,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{E2698733-FA1B-45C7-8485-7730E63E4955},2146678.93148484,12233037054.3492
36,UK0036,North East,Nitrogen Dioxide hourly mean Limit Value 2023,0,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{2F8A09D3-41B9-4D6D-A361-DAA5604EBA1E},1568402.30125535,8249987661.31387
37,UK0037,Central Scotland,Nitrogen Dioxide hourly mean Limit Value 2023,0,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{122AA04A-07BC-4649-83C3-1249263BE8E8},1834418.10344638,9620284827.79142
38,UK0038,North East Scotland,Nitrogen Dioxide hourly mean Limit Value 2023,0,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{EAEA5804-AA96-4B02-BD28-7DB52B8FB27B},1095339.37047783,18779326879.5982
39,UK0039,Highland,Nitrogen Dioxide hourly mean Limit Value 2023,0,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{51B9745A-13C2-41E2-AD22-6B7CE94B8BE0},9990044.0398994,38234358456.5575
40,UK0040,Scottish Borders,Nitrogen Dioxide hourly mean Limit Value 2023,1,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{61FC6594-510E-4D58-8B24-39892FB6449F},1099238.46967631,11181066200.7782
41,UK0041,South Wales,Nitrogen Dioxide hourly mean Limit Value 2023,0,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{239460B5-B340-4BF6-9F5F-76F0976158BC},1954724.79603707,12206279572.1381
42,UK0042,North Wales,Nitrogen Dioxide hourly mean Limit Value 2023,0,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{917E3BC2-8491-4353-8F52-E328BF610CA0},1126135.47314491,8308163746.65288
43,UK0043,Northern Ireland,Nitrogen Dioxide hourly mean Limit Value 2023,0,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{D5AFFAE9-F732-4DD1-B672-0ECD03C79EBF},1428539.01069978,13931049267.7032
