objectid,unique_code,name,pollutant_metric,maximum_value,unit,compliance_status,compliance_metric,globalid,shape_Length,shape_Area
27,UK0027,Swansea Urban Area,Nitrogen Dioxide annual mean Limit Value 2023,31,μg m⁻³,Compliant,Limit Value: 40 μg m⁻³,{637E7969-28CE-4566-B13D-102A63938986},365148.94139693,79703705.1851885
28,UK0028,Belfast Metropolitan Urban Area,Nitrogen Dioxide annual mean Limit Value 2023,36,μg m⁻³,Compliant,Limit Value: 40 μg m⁻³,{FA258A87-F9DF-444F-8CB0-41FD021EC4DC},277460.90331101,198130523.091352
29,UK0029,Eastern,Nitrogen Dioxide annual mean Limit Value 2023,39,μg m⁻³,Compliant,Limit Value: 40 μg m⁻³,{5E93EF65-823B-46B6-8D4D-79FAE3F49C2A},2210565.64479357,19104559394.6904
30,UK0030,South West,Nitrogen Dioxide annual mean Limit Value 2023,30,μg m⁻³,Compliant,Limit Value: 40 μg m⁻³,{EE2B05C7-B60C-4C8A-8215-9675996B4E96},2743218.82663225,23566188737.735
31,UK0031,South East,Nitrogen Dioxide annual mean Limit Value 2023,45,μg m⁻³,Exceeding,Limit Value: 40 μg m⁻³,{0985CBE4-5F5B-47D9-BA57-577DCC88D794},3643594.26603739,18657535924.9388
32,UK0032,East Midlands,Nitrogen Dioxide annual mean Limit Value 2023,35,μg m⁻³,Compliant,Limit Value: 40 μg m⁻³,{D896A744-1F13-4798-BCBD-1BA20B1D3AD5},1684612.99306767,15370211448.3816
33,UK0033,North West & Merseyside,Nitrogen Dioxide annual mean Limit Value 2023,36,μg m⁻³,Compliant,Limit Value: 40 μg m⁻³,{F90712B0-FE41-4BA2-9C2F-3332828FECC9},3535298.00795829,13189716555.2295
34,UK0034,Yorkshire & Humberside,Nitrogen Dioxide annual mean Limit Value 2023,34,μg m⁻³,Compliant,Limit Value: 40 μg m⁻³,{E5A8C535-B2DA-45CB-B7A4-07C6DD3065F4},2858093.01858223,14789540030.5633
35,UK0035,West Midlands,Nitrogen Dioxide annual mean Limit Value 2023,34,μg m⁻³,Compliant,Limit Value: 40 μg m⁻³,{2289151E-560C-4D21-8642-D18BA0784E5F},2146678.93148484,12233037054.3492
36,UK0036,North East,Nitrogen Dioxide annual mean Limit Value 2023,34,μg m⁻³,Compliant,Limit Value: 40 μg m⁻³,{8E365D16-B828-45A6-BC69-C9E465ED88F9},1568402.30125535,8249987661.31387
37,UK0037,Central Scotland,Nitrogen Dioxide annual mean Limit Value 2023,35,μg m⁻³,Compliant,Limit Value: 40 μg m⁻³,{9E4879A8-4096-40B1-9973-5514D47CA338},1834418.10344638,9620284827.79142
38,UK0038,North East Scotland,Nitrogen Dioxide annual mean Limit Value 2023,36,μg m⁻³,Compliant,Limit Value: 40 μg m⁻³,{B3EA7892-073B-4143-917B-99CD87888A53},1095339.37047783,18779326879.5982
39,UK0039,Highland,Nitrogen Dioxide annual mean Limit Value 2023,21,μg m⁻³,Compliant,Limit Value: 40 μg m⁻³,{B3A08972-9F89-400F-9377-7D1FB8B6F186},9990044.0398994,38234358456.5575
40,UK0040,Scottish Borders,Nitrogen Dioxide annual mean Limit Value 2023,22,μg m⁻³,Compliant,Limit Value: 40 μg m⁻³,{D4DCC5F2-A1A0-49B6-BD60-C81D0CBB0A1E},1099238.46967631,11181066200.7782
41,UK0041,South Wales,Nitrogen Dioxide annual mean Limit Value 2023,34,μg m⁻³,Compliant,Limit Value: 40 μg m⁻³,{849049F2-CA30-4E23-A544-DE4F29DF6EF7},1954724.79603707,12206279572.1381
42,UK0042,North Wales,Nitrogen Dioxide annual mean Limit Value 2023,33,μg m⁻³,Compliant,Limit Value: 40 μg m⁻³,{C133551B-0A55-4912-AF30-0BC7740CCCA4},1126135.47314491,8308163746.65288
43,UK0043,Northern Ireland,Nitrogen Dioxide annual mean Limit Value 2023,23,μg m⁻³,Compliant,Limit Value: 40 μg m⁻³,{17E76C3F-4E73-4C22-ABA8-8066BD80491A},1428539.01069978,13931049267.7032
