objectid,unique_code,name,pollutant_metric,maximum_value,unit,compliance_status,compliance_metric,globalid,shape_Length,shape_Area
28,UK0028,Belfast Metropolitan Urban Area,PM2.5 annual mean stage2 Limit Value 2023,8,μg m⁻³,Compliant,Limit Value: 20 μg m⁻³,{75C552FC-D8A8-494A-964C-A1981B6FF7AF},277460.90331101,198130523.091352
29,UK0029,Eastern,PM2.5 annual mean stage2 Limit Value 2023,10,μg m⁻³,Compliant,Limit Value: 20 μg m⁻³,{E8B5EFFA-7B3A-4B7C-9222-BBDD305410E7},2210565.64479357,19104559394.6904
30,UK0030,South West,PM2.5 annual mean stage2 Limit Value 2023,9,μg m⁻³,Compliant,Limit Value: 20 μg m⁻³,{F4FEF331-E98F-472F-8A16-4382C969C84F},2743218.82663225,23566188737.735
31,UK0031,South East,PM2.5 annual mean stage2 Limit Value 2023,10,μg m⁻³,Compliant,Limit Value: 20 μg m⁻³,{3BCBADAF-8A31-40FA-A276-466D35F0FBA9},3643594.26603739,18657535924.9388
32,UK0032,East Midlands,PM2.5 annual mean stage2 Limit Value 2023,10,μg m⁻³,Compliant,Limit Value: 20 μg m⁻³,{204CEF37-BBE8-4276-9C0E-5D1D2B8C0DA3},1684612.99306767,15370211448.3816
33,UK0033,North West & Merseyside,PM2.5 annual mean stage2 Limit Value 2023,9,μg m⁻³,Compliant,Limit Value: 20 μg m⁻³,{FE9F860F-CD66-491D-8464-620C6D5BC0B1},3535298.00795829,13189716555.2295
34,UK0034,Yorkshire & Humberside,PM2.5 annual mean stage2 Limit Value 2023,10,μg m⁻³,Compliant,Limit Value: 20 μg m⁻³,{9A0D7D1F-6BF7-4AF4-8624-B1DA937ACB80},2858093.01858223,14789540030.5633
35,UK0035,West Midlands,PM2.5 annual mean stage2 Limit Value 2023,11,μg m⁻³,Compliant,Limit Value: 20 μg m⁻³,{4E7F7E2D-F366-4086-9941-D3424C527DE4},2146678.93148484,12233037054.3492
36,UK0036,North East,PM2.5 annual mean stage2 Limit Value 2023,9,μg m⁻³,Compliant,Limit Value: 20 μg m⁻³,{F708929E-8CD1-4BC7-BE19-12582D5A5E46},1568402.30125535,8249987661.31387
37,UK0037,Central Scotland,PM2.5 annual mean stage2 Limit Value 2023,7,μg m⁻³,Compliant,Limit Value: 20 μg m⁻³,{0923F49B-0614-41E0-A123-D24A407E6E8C},1834418.10344638,9620284827.79142
38,UK0038,North East Scotland,PM2.5 annual mean stage2 Limit Value 2023,7,μg m⁻³,Compliant,Limit Value: 20 μg m⁻³,{F6D8D1C7-F9BD-4146-8E31-ED1340730FE6},1095339.37047783,18779326879.5982
39,UK0039,Highland,PM2.5 annual mean stage2 Limit Value 2023,5,μg m⁻³,Compliant,Limit Value: 20 μg m⁻³,{BED35D01-6FFB-48F4-B7D7-43DFF8BEFE32},9990044.0398994,38234358456.5575
40,UK0040,Scottish Borders,PM2.5 annual mean stage2 Limit Value 2023,5,μg m⁻³,Compliant,Limit Value: 20 μg m⁻³,{5DFA2E7B-B7E6-4F58-9586-F7401142E0F2},1099238.46967631,11181066200.7782
41,UK0041,South Wales,PM2.5 annual mean stage2 Limit Value 2023,9,μg m⁻³,Compliant,Limit Value: 20 μg m⁻³,{61AFCA95-E1F6-4F71-8578-9911DE92890E},1954724.79603707,12206279572.1381
42,UK0042,North Wales,PM2.5 annual mean stage2 Limit Value 2023,9,μg m⁻³,Compliant,Limit Value: 20 μg m⁻³,{9B0F8E49-C634-4EA8-A95A-DE4171A4BE50},1126135.47314491,8308163746.65288
43,UK0043,Northern Ireland,PM2.5 annual mean stage2 Limit Value 2023,8,μg m⁻³,Compliant,Limit Value: 20 μg m⁻³,{D48F4B2A-EC48-49B1-9B1D-B299E8DF5C11},1428539.01069978,13931049267.7032
