objectid,unique_code,name,pollutant_metric,maximum_value,unit,compliance_status,compliance_metric,globalid,shape_Length,shape_Area
29,UK0029,Eastern,PM10 daily mean Limit Value 2023,3,Days,Compliant,Limit Value: 35 days over 50 μg m⁻³,{8D105DDA-FA70-4A4F-9C6D-A4E977856639},2210565.64479357,19104559394.6904
30,UK0030,South West,PM10 daily mean Limit Value 2023,1,Days,Compliant,Limit Value: 35 days over 50 μg m⁻³,{1A9C07FE-765C-4665-B32D-54B772158853},2743218.82663225,23566188737.735
31,UK0031,South East,PM10 daily mean Limit Value 2023,5,Days,Compliant,Limit Value: 35 days over 50 μg m⁻³,{695508EA-F9FC-4998-B2A9-CC17D01C5D9B},3643594.26603739,18657535924.9388
32,UK0032,East Midlands,PM10 daily mean Limit Value 2023,5,Days,Compliant,Limit Value: 35 days over 50 μg m⁻³,{6CCEA2A9-3B53-4AB4-876F-A062410613CB},1684612.99306767,15370211448.3816
33,UK0033,North West & Merseyside,PM10 daily mean Limit Value 2023,1,Days,Compliant,Limit Value: 35 days over 50 μg m⁻³,{A53EC8FE-06C4-4402-8664-35AFA5BFE7EF},3535298.00795829,13189716555.2295
34,UK0034,Yorkshire & Humberside,PM10 daily mean Limit Value 2023,3,Days,Compliant,Limit Value: 35 days over 50 μg m⁻³,{BBD307F3-9C1F-4B53-9EC7-3AA7F7D4DFD0},2858093.01858223,14789540030.5633
35,UK0035,West Midlands,PM10 daily mean Limit Value 2023,3,Days,Compliant,Limit Value: 35 days over 50 μg m⁻³,{AA9C2830-AB5B-4DAB-9293-F550D22F9370},2146678.93148484,12233037054.3492
36,UK0036,North East,PM10 daily mean Limit Value 2023,3,Days,Compliant,Limit Value: 35 days over 50 μg m⁻³,{EB4847D7-DB4F-44AC-A93E-403967387FC4},1568402.30125535,8249987661.31387
37,UK0037,Central Scotland,PM10 daily mean Limit Value 2023,0,Days,Compliant,Limit Value: 35 days over 50 μg m⁻³,{B027E2F4-7C51-4178-A30E-703A713CA51A},1834418.10344638,9620284827.79142
38,UK0038,North East Scotland,PM10 daily mean Limit Value 2023,1,Days,Compliant,Limit Value: 35 days over 50 μg m⁻³,{DCCCA1D4-06BA-4AEE-9F0A-B32D0369E446},1095339.37047783,18779326879.5982
39,UK0039,Highland,PM10 daily mean Limit Value 2023,0,Days,Compliant,Limit Value: 35 days over 50 μg m⁻³,{0A5316B2-8DEC-44EB-B47E-82F6D61E5D90},9990044.0398994,38234358456.5575
40,UK0040,Scottish Borders,PM10 daily mean Limit Value 2023,0,Days,Compliant,Limit Value: 35 days over 50 μg m⁻³,{5181F9DF-B653-4C01-86DD-687BABA6D511},1099238.46967631,11181066200.7782
41,UK0041,South Wales,PM10 daily mean Limit Value 2023,2,Days,Compliant,Limit Value: 35 days over 50 μg m⁻³,{91552D22-9B5F-450F-9E1B-78FB9CE68636},1954724.79603707,12206279572.1381
42,UK0042,North Wales,PM10 daily mean Limit Value 2023,0,Days,Compliant,Limit Value: 35 days over 50 μg m⁻³,{41AEE1AD-C7B4-46B8-B7EC-DC2387394A58},1126135.47314491,8308163746.65288
43,UK0043,Northern Ireland,PM10 daily mean Limit Value 2023,0,Days,Compliant,Limit Value: 35 days over 50 μg m⁻³,{488C0A13-33B8-4B65-A84C-E7E2C2F8F8B2},1428539.01069978,13931049267.7032
